,이름,주거지,전화번호,추천인,생년월일,구매상품,PT 등록 여부,담당 트레이너,첫 BMI 지수,현재 BMI지수,목표 BMI 지수,사용 라커,최초 등록일,누적 운동 횟수,누적 PT 횟수,가장 최근 운동일,상품권 말소 시기
336,오강준,평창동,010-9018-2027,유승우,92.03.04,6개월권,Y,T김령진,26,24,16,315,2018년 05월 03일,71,8,2019년 07월 04일,2020년 01월 19일
337,최강준,부암동,010-1010-2028,유승우,95.08.07,6개월권,Y,T정창현,27,24,17,314,2018년 02월 22일,73,7,2019년 07월 14일,2019년 10월 10일
338,임시완,구기동,010-2389-0789,유승우,02.09.03,12개월권,Y,T김령진,29,28,25,313,2018년 04월 01일,42,3,2019년 07월 16일,2019년 08월 08일
339,최시완,불광동,010-0012-2389,박보영,03.02.03,12개월권,Y,T이유진,30,25,26,312,2018년 02월 22일,108,6,2019년 07월 14일,2020년 01월 19일
340,김선미,홍지동,010-0277-7689,박보영,04.03.08,12개월권,N,-,23,18,19,311,2018년 04월 01일,135,0,2019년 06월 16일,2019년 10월 10일
341,이선미,평창동,010-2788-9928,박보영,02.11.01,12개월권,N,-,34,33,30,310,2018년 02월 22일,16,0,2019년 07월 04일,2019년 08월 08일
342,오선미,구기동,010-2777-2378,유승우,02.05.06,12개월권,Y,T이유진,38,33,34,309,2018년 04월 01일,182,2,2019년 07월 14일,2020년 01월 19일
343,유선미,불광동,010-4587-8982,유승우,02.05.21,12개월권,N,-,22,21,18,308,2018년 05월 03일,31,0,2019년 07월 16일,2019년 08월 01일
344,이수아,홍지동,010-2277-6789,박보영,04.07.21,12개월권,Y,T신창호,29,24,25,307,2018년 04월 01일,79,4,2019년 07월 04일,2019년 10월 10일
345,최수아,구기동,010-6789-1182,박보영,03.06.23,12개월권,Y,T한로빈,33,28,29,306,2018년 02월 22일,252,3,2019년 07월 14일,2019년 10월 01일
346,박수아,불광동,010-7458-2219,박보영,03.02.23,12개월권,Y,T김경문,22,17,18,305,2018년 04월 01일,240,5,2019년 07월 04일,2019년 10월 01일
347,서수아,홍지동,010-9960-2781,유승우,03.06.30,6개월권,N,-,28,27,24,304,2018년 02월 22일,8,0,2019년 07월 14일,2019년 08월 16일
348,김채영,평창동,010-4374-2771,유승우,05.07.31,6개월권,N,-,22,20,18,303,2018년 04월 01일,55,0,2019년 07월 16일,2019년 08월 01일
349,서채영,부암동,010-6879-1261,서수아,05.02.21,6개월권,Y,T고진권,31,30,27,302,2018년 05월 03일,25,2,2019년 07월 14일,2019년 10월 01일
350,이채영,홍은동,010-2748-2295,서수아,06.03.31,6개월권,N,-,38,38,34,301,2018년 04월 01일,58,0,2019년 06월 16일,2019년 08월 16일
